filename,status,original_width,original_height,processed_width,processed_height,final_width,final_height,scale_x,scale_y,detected_angle,suggested_scale_y,iso_auto_scale_applied,iso_auto_scale_y,iso_pre_right_ratio,iso_pre_left_ratio,iso_pre_avg_ratio,iso_pre_side_diff,iso_align_skipped_reason,iso_right_ratio,iso_left_ratio,iso_avg_ratio,iso_side_diff,iso_right_abs_ratio,iso_left_abs_ratio,iso_measurement_method,iso_right_point,iso_left_point,iso_bottom_point,output_path,error
government/4x4/university4-02.png,success,1254,1254,1254,966,1024,1024,1.0,1.0,,,True,0.7704,0.6501,0.6479,0.649,0.0022,,-0.5,0.4974,0.4987,0.0026,0.5,0.4974,bottom-scan-10pct+virtual,"(904,718)","(118,720)","(510,915)",output/modified4/government/4x4/university4-02.png,
industrial/1x1/industrialBuilding1-01.png,success,1254,1254,1254,1421,1024,1024,1.0,1.0,,,True,1.1374,0.456,0.4232,0.4396,0.0328,,-0.5194,0.483,0.5012,0.0364,0.5194,0.483,bottom-scan-10pct+virtual,"(852,809)","(169,840)","(492,996)",output/modified4/industrial/1x1/industrialBuilding1-01.png,
industrial/1x1/industrialBuilding1-02.png,success,1254,1254,1177,1102,1024,1024,1.0,1.0,,,True,0.879,0.578,0.5597,0.5688,0.0183,,-0.507,0.4892,0.4981,0.0178,0.507,0.4892,bottom-scan-10pct+virtual,"(902,824)","(173,823)","(545,1005)",output/modified4/industrial/1x1/industrialBuilding1-02.png,
industrial/2x2/ChatGPT Image 2026年5月31日 下午07_44_53.png,success,1254,1254,1254,924,1024,1024,1.0,1.0,,,True,0.7848,0.6471,0.627,0.6371,0.0201,,-0.5068,0.4928,0.4998,0.014,0.5068,0.4928,bottom-scan-10pct+virtual,"(911,775)","(118,828)","(467,1000)",output/modified4/industrial/2x2/ChatGPT Image 2026年5月31日 下午07_44_53.png,
industrial/2x2/industrialBuilding2-.png,success,1254,1254,1254,987,1024,1024,1.0,1.0,,,True,0.7869,0.6475,0.6234,0.6354,0.0241,,-0.5101,0.4897,0.4999,0.0204,0.5101,0.4897,bottom-scan-10pct+virtual,"(905,803)","(117,815)","(507,1006)",output/modified4/industrial/2x2/industrialBuilding2-.png,
industrial/2x2/industrialBuilding2-01.png,success,1254,1254,1233,1074,1024,1024,1.0,1.0,,,True,0.8651,0.5788,0.5773,0.578,0.0015,,-0.5026,0.5,0.5013,0.0026,0.5026,0.5,bottom-scan-10pct+virtual,"(897,806)","(127,806)","(513,999)",output/modified4/industrial/2x2/industrialBuilding2-01.png,
industrial/2x2/industrialBuilding2-02.png,success,1254,1254,1254,1037,1024,1024,1.0,1.0,,,True,0.8269,0.6098,0.5996,0.6047,0.0102,,-0.5039,0.4938,0.4989,0.0101,0.5039,0.4938,bottom-scan-10pct+virtual,"(904,819)","(118,813)","(521,1012)",output/modified4/industrial/2x2/industrialBuilding2-02.png,
industrial/2x2/industrialBuilding2-04.png,success,1254,1254,1254,1067,1024,1024,1.0,1.0,,,True,0.8508,0.5875,0.588,0.5877,0.0005,,-0.5,0.5,0.5,0.0,0.5,0.5,bottom-scan-10pct+virtual,"(900,833)","(128,839)","(508,1029)",output/modified4/industrial/2x2/industrialBuilding2-04.png,
industrial/2x2/industrialBuilding2-05.png,success,1254,1254,1254,1014,1024,1024,1.0,1.0,,,True,0.8193,0.608,0.6126,0.6103,0.0046,,-0.5,0.5026,0.5013,0.0026,0.5,0.5026,bottom-scan-10pct+virtual,"(898,821)","(130,826)","(508,1016)",output/modified4/industrial/2x2/industrialBuilding2-05.png,
industrial/2x2/sciencePark2-01.png,success,1254,1254,1254,926,1024,1024,1.0,1.0,,,True,0.8133,0.6276,0.602,0.6148,0.0256,,-0.509,0.4876,0.4983,0.0214,0.509,0.4876,bottom-scan-10pct+virtual,"(907,801)","(116,803)","(518,999)",output/modified4/industrial/2x2/sciencePark2-01.png,
